movie_id,trakt_id,title,year,rating,votes
163,223444,Kingsman: The Golden Circle,2017.0,7.14283,30700.0
164,537449,Dune: Part Two,2024.0,8.35086,28322.0
165,482,The Matrix Reloaded,2003.0,7.53662,29794.0
166,124008,The Maze Runner,2014.0,7.20577,30252.0
167,202286,Beauty and the Beast,2017.0,7.3839,29836.0
168,70,Léon: The Professional,1994.0,8.43221,27790.0
169,396092,Everything Everywhere All at Once,2022.0,7.98004,28502.0
170,762,Cars,2006.0,7.42242,29506.0
171,1269,Star Wars: Episode II - Attack of the Clones,2002.0,7.02395,30308.0
172,395672,Deadpool & Wolverine,2024.0,7.739,28816.0
173,382862,1917,2019.0,8.13487,28102.0
174,25084,Tangled,2010.0,7.85221,28594.0
175,12222,Zombieland,2009.0,7.73305,28781.0
176,427989,Tenet,2020.0,7.27666,29401.0
177,188631,Now You See Me 2,2016.0,7.12324,29689.0
178,566,The Shining,1980.0,8.16666,27685.0
179,31,Pirates of the Caribbean: Dead Man's Chest,2006.0,7.62763,28493.0
180,313464,Once Upon a Time... in Hollywood,2019.0,7.36544,28845.0
181,884,300,2007.0,7.69158,28124.0
182,3642,I Am Legend,2007.0,7.44664,28578.0
183,83614,The Grand Budapest Hotel,2014.0,8.08376,27413.0
184,130,Back to the Future Part II,1989.0,8.15949,27256.0
185,192932,La La Land,2016.0,7.7532,27950.0
186,14,The Fifth Element,1997.0,8.14604,27034.0
187,485,Men in Black,1997.0,7.73132,27743.0
188,706,Toy Story 2,1999.0,7.86324,27493.0
189,118174,Star Trek Beyond,2016.0,7.51178,27514.0
190,177,The Terminator,1984.0,8.02353,26607.0
191,84900,The Hobbit: The Battle of the Five Armies,2014.0,7.58167,27373.0
192,50139,Pacific Rim,2013.0,7.28228,27898.0
193,383,Good Will Hunting,1997.0,8.39161,25760.0
194,68817,Despicable Me 2,2013.0,7.50105,27249.0
195,34517,X-Men: First Class,2011.0,7.68783,26860.0
196,29,Eternal Sunshine of the Spotless Mind,2004.0,8.21297,25910.0
197,24221,Skyfall,2012.0,7.7513,26554.0
198,89542,The Hunger Games: Mockingjay - Part 1,2014.0,7.11182,27572.0
199,171369,Sicario,2015.0,7.61646,26610.0
200,216570,Sing,2016.0,7.4827,26845.0
201,99919,Her,2013.0,7.91906,26043.0
202,400704,Free Guy,2021.0,7.28691,27137.0
203,106667,Pirates of the Caribbean: Dead Men Tell No Tales,2017.0,7.0606,27542.0
204,52036,Prometheus,2012.0,7.07888,27497.0
205,5706,Sherlock Holmes,2009.0,7.65715,26405.0
206,1735,The Bourne Identity,2002.0,8.01477,25527.0
207,439,Spider-Man 2,2004.0,7.5146,26345.0
208,196549,Ghost in the Shell,2017.0,6.82511,27555.0
209,7935,Star Trek,2009.0,8.02037,25287.0
210,590,The Sixth Sense,1999.0,8.16444,25012.0
211,336,Schindler's List,1993.0,8.81954,24017.0
212,178749,War for the Planet of the Apes,2017.0,7.47569,26082.0
213,222216,Jurassic World: Fallen Kingdom,2018.0,6.7779,27388.0
214,92226,The Lego Movie,2014.0,7.74641,25569.0
215,214312,10 Cloverfield Lane,2016.0,7.24542,26428.0
216,159626,Incredibles 2,2018.0,7.68057,25661.0
217,241112,Hidden Figures,2016.0,8.27973,24706.0
218,344686,Black Widow,2021.0,6.93039,26993.0
219,184992,Shazam!,2019.0,7.16756,26384.0
220,612,GoodFellas,1990.0,8.58498,23999.0
221,86997,Alien: Covenant,2017.0,6.77557,26979.0
222,44653,Brave,2012.0,7.44974,25724.0
223,655,Aladdin,1992.0,8.027,24774.0
224,126,Ocean's Eleven,2001.0,7.93424,24847.0
225,89543,The Hunger Games: Mockingjay - Part 2,2015.0,7.04304,26369.0
226,205219,Jason Bourne,2016.0,7.26603,25952.0
227,195864,The Boss Baby,2017.0,7.12388,26170.0
228,217936,The Fate of the Furious,2017.0,7.21548,25942.0
229,239,Pirates of the Caribbean: At World's End,2007.0,7.4647,25496.0
230,24279,The Social Network,2010.0,7.59833,25013.0
231,38322,Star Trek Into Darkness,2013.0,7.78979,24628.0
232,130970,Minions,2015.0,7.01732,25931.0
233,23299,X-Men,2000.0,7.49342,25060.0
234,392,Reservoir Dogs,1992.0,8.24785,23760.0
235,23217,Casino Royale,2006.0,7.92615,24131.0
236,553,Aliens,1986.0,8.29334,23573.0
237,222160,Mission: Impossible - Fallout,2018.0,7.71791,24333.0
238,232291,The Hitman's Bodyguard,2017.0,7.4249,24806.0
